purchase_date,Income
1.22.2025,1.612
1.23.2025,1.5984
1.24.2025,1.5984
1.25.2025,1.5984
1.26.2025,1.5984
1.27.2025,1.5984
1.28.2025,1.5984
1.29.2025,1.5984
1.30.2025,0.7912
1.31.2025,0.7912
2.01.2025,1.5984
2.02.2025,1.5984
2.03.2025,1.5984
2.04.2025,1.612
2.05.2025,1.612
2.06.2025,0.7912
2.07.2025,1.5984
2.08.2025,1.612
2.09.2025,1.5984
2.10.2025,1.612
2.11.2025,1.5984
2.12.2025,1.5984
2.13.2025,1.612
2.14.2025,1.5984
2.15.2025,0.7912
2.16.2025,1.5984
2.17.2025,1.5984
2.18.2025,1.5984
2.19.2025,1.5984
2.20.2025,1.5984
2.21.2025,1.5984
2.22.2025,1.5984
2.23.2025,1.5984
2.24.2025,1.5984
2.25.2025,1.5984
2.26.2025,1.5984
2.27.2025,0.7912
2.28.2025,1.5984
3.01.2025,3.1968
3.02.2025,1.5984
3.03.2025,1.676
3.04.2025,1.5984
3.05.2025,1.612
3.06.2025,1.612
3.07.2025,0.7912
3.08.2025,1.5984
3.09.2025,1.5984
3.10.2025,1.5984
3.11.2025,1.5984
3.12.2025,1.5984
3.13.2025,1.5984
3.14.2025,0.7912
3.15.2025,1.5912
3.16.2025,1.5912
3.17.2025,1.676
3.18.2025,1.676
3.19.2025,0.7912
3.20.2025,1.676
3.21.2025,1.7512
3.22.2025,0.7912
3.23.2025,1.676
3.24.2025,1.676
3.25.2025,1.676
3.26.2025,1.7656
3.27.2025,1.676
3.28.2025,1.5912
3.29.2025,1.7992
3.30.2025,1.7992
3.31.2025,1.7992
4.01.2025,1.7992
4.02.2025,1.7992
4.03.2025,0.7912
4.04.2025,2.619606
4.05.2025,2.619606
4.06.2025,2.619606
4.07.2025,1.676
4.08.2025,1.7656
4.09.2025,1.676
4.10.2025,1.676
4.11.2025,1.676
4.12.2025,1.7512
4.13.2025,1.676
4.14.2025,1.676
4.15.2025,1.676
4.16.2025,1.676
4.17.2025,1.676
4.18.2025,1.676
4.19.2025,1.676
4.20.2025,1.676
4.21.2025,1.676
4.22.2025,1.676
4.23.2025,1.7512
4.24.2025,1.7512
4.25.2025,1.7512
4.26.2025,1.676
4.27.2025,1.676
4.28.2025,1.676
4.29.2025,1.676
4.30.2025,1.676
5.01.2025,1.7656
5.02.2025,0.7912
5.03.2025,1.676
5.04.2025,1.676
5.05.2025,1.676
5.06.2025,1.676
5.07.2025,0.7912
5.08.2025,3.352
5.09.2025,1.7656
5.10.2025,1.676
5.11.2025,1.7512
5.12.2025,1.7512
5.13.2025,1.676
5.14.2025,1.676
5.15.2025,1.7512
5.16.2025,1.676
5.17.2025,1.676
5.18.2025,1.676
5.19.2025,1.7192
5.20.2025,1.5912
5.21.2025,1.7992
5.22.2025,1.7992
5.23.2025,1.7992
5.24.2025,2.619606
5.25.2025,2.619606
5.26.2025,2.619606
5.27.2025,1.7512
5.28.2025,1.7192
5.29.2025,1.4712
5.30.2025,1.7512
5.31.2025,1.7512
6.01.2025,1.7512
6.02.2025,1.7512
6.03.2025,1.7512
6.04.2025,0.7912
6.05.2025,1.7512
6.06.2025,1.7512
6.07.2025,1.7512
6.08.2025,1.7512
6.09.2025,1.7656
6.10.2025,1.7512
6.11.2025,1.7512
6.12.2025,1.7512
