purchase_date,Income
9/29/2024,1,4792
9/30/2024,1,4792
10/01/2024,1,5032
10/02/2024,0,7912
10/03/2024,1,5192
10/04/2024,1,5352
10/05/2024,0,7912
10/06/2024,1,5352
10/07/2024,1,5352
10/08/2024,1,5352
10/09/2024,1,5592
10/10/2024,1,5592
10/11/2024,1,5592
10/12/2024,1,5592
10/13/2024,1,5592
10/14/2024,1,5592
10/15/2024,1,5976
10/16/2024,1,5976
10/17/2024,1,5976
10/18/2024,1,5976
10/19/2024,1,5976
10/20/2024,0,7912
10/21/2024,1,5976
10/22/2024,1,5976
10/23/2024,1,5976
10/24/2024,1,5976
10/25/2024,1,5976
10/26/2024,1,5992
10/27/2024,1,5992
10/28/2024,1,5992
10/29/2024,1,5992
10/30/2024,1,5992
10/31/2024,1,6352
11/01/2024,1,6352
11/02/2024,1,6352
11/03/2024,1,6352
11/04/2024,1,6352
11/05/2024,1,6352
11/06/2024,1,6352
11/07/2024,1,6352
11/08/2024,1,6352
11/09/2024,1,6352
11/10/2024,1,6352
11/11/2024,1,636
11/12/2024,1,636
11/13/2024,1,636
11/14/2024,1,636
11/15/2024,1,636
11/16/2024,1,5816
11/17/2024,1,5816
11/18/2024,1,5816
11/19/2024,1,5816
11/20/2024,1,5816
11/21/2024,1,5816
11/22/2024,1,5832
11/23/2024,1,5832
11/24/2024,1,5832
11/25/2024,1,5832
11/26/2024,1,5832
11/27/2024,1,5832
11/28/2024,1,5832
11/29/2024,1,5832
11/30/2024,1,5992
12/01/2024,1,5992
12/02/2024,1,5992
12/03/2024,1,5992
12/04/2024,1,5992
12/05/2024,1,5992
12/06/2024,1,5992
12/07/2024,1,5992
12/08/2024,1,5992
12/09/2024,1,5992
12/10/2024,1,5992
12/11/2024,1,5992
12/12/2024,1,5992
12/13/2024,1,5992
12/14/2024,1,5992
12/15/2024,1,5992
12/16/2024,1,5992
12/17/2024,1,5992
12/18/2024,1,5992
12/19/2024,1,5992
12/20/2024,1,5992
12/21/2024,1,5992
12/22/2024,1,5992
12/23/2024,1,5992
12/24/2024,1,5992
12/25/2024,1,5992
12/26/2024,1,5992
12/27/2024,1,5992
12/28/2024,1,5992
12/29/2024,1,5992
12/30/2024,1,5992
12/31/2024,1,5992
1/01/2025,1,5992
1/02/2025,1,5992
1/03/2025,1,5992
1/04/2025,1,5992
1/05/2025,1,344
1/06/2025,1,6376
1/07/2025,1,376
1/08/2025,1,6376
1/09/2025,1,6376
1/10/2025,3,2752
1/11/2025,1,6376
1/12/2025,1,6392
1/13/2025,1,6392
1/14/2025,1,6392
1/15/2025,1,6392
1/16/2025,2,619606
1/17/2025,2,619606
1/18/2025,2,619606
1/19/2025,1,676
1/20/2025,1,676
1/21/2025,1,676
1/22/2025,1,612
1/23/2025,1,5984
1/24/2025,1,5984
1/25/2025,1,5984
1/26/2025,1,5984
1/27/2025,1,5984
1/28/2025,1,5984
1/29/2025,1,5984
1/30/2025,0,7912
1/31/2025,0,7912
2/01/2025,1,5984
2/02/2025,1,5984
2/03/2025,1,5984
2/04/2025,1,612
2/05/2025,1,612
2/06/2025,0,7912
2/07/2025,1,5984
2/08/2025,1,612
2/09/2025,1,5984
2/10/2025,1,612
2/11/2025,1,5984
2/12/2025,1,5984
2/13/2025,1,612
2/14/2025,1,5984
2/15/2025,0,7912
2/16/2025,1,5984
2/17/2025,1,5984
2/18/2025,1,5984
2/19/2025,1,5984
2/20/2025,1,5984
2/21/2025,1,5984
2/22/2025,1,5984
2/23/2025,1,5984
2/24/2025,1,5984
2/25/2025,1,5984
2/26/2025,1,5984
2/27/2025,0,7912
2/28/2025,1,5984
3/01/2025,3,1968
3/02/2025,1,5984
3/03/2025,1,676
3/04/2025,1,5984
3/05/2025,1,612
3/06/2025,1,612
3/07/2025,0,7912
3/08/2025,1,5984
3/09/2025,1,5984
3/10/2025,1,5984
3/11/2025,1,5984
3/12/2025,1,5984
3/13/2025,1,5984
3/14/2025,0,7912
3/15/2025,1,5912
3/16/2025,1,5912
3/17/2025,1,676
3/18/2025,1,676
3/19/2025,0,7912
3/20/2025,1,676
3/21/2025,1,7512
3/22/2025,0,7912
3/23/2025,1,676
3/24/2025,1,676
3/25/2025,1,676
3/26/2025,1,7656
3/27/2025,1,676
3/28/2025,1,5912
3/29/2025,1,7992
3/30/2025,1,7992
3/31/2025,1,7992
4/01/2025,1,7992
4/02/2025,1,7992
4/03/2025,0,7912
4/04/2025,2,619606
4/05/2025,2,619606
4/06/2025,2,619606
4/07/2025,1,676
4/08/2025,1,7656
4/09/2025,1,676
4/10/2025,1,676
4/11/2025,1,676
4/12/2025,1,7512
4/13/2025,1,676
4/14/2025,1,676
4/15/2025,1,676
4/16/2025,1,676
4/17/2025,1,676
4/18/2025,1,676
4/19/2025,1,676
4/20/2025,1,676
4/21/2025,1,676
4/22/2025,1,676
4/23/2025,1,7512
4/24/2025,1,7512
4/25/2025,1,7512
4/26/2025,1,676
4/27/2025,1,676
4/28/2025,1,676
4/29/2025,1,676
4/30/2025,1,676
5/01/2025,1,7656
5/02/2025,0,7912
5/03/2025,1,676
5/04/2025,1,676
5/05/2025,1,676
5/06/2025,1,676
5/07/2025,0,7912
5/08/2025,3,352
5/09/2025,1,7656
5/10/2025,1,676
5/11/2025,1,7512
5/12/2025,1,7512
5/13/2025,1,676
5/14/2025,1,676
5/15/2025,1,7512
5/16/2025,1,676
5/17/2025,1,676
5/18/2025,1,676
5/19/2025,1,7192
5/20/2025,1,5912
5/21/2025,1,7992
5/22/2025,1,7992
5/23/2025,1,7992
5/24/2025,2,619606
5/25/2025,2,619606
5/26/2025,2,619606
5/27/2025,1,7512
5/28/2025,1,7192
5/29/2025,1,4712
5/30/2025,1,7512
5/31/2025,1,7512
6/01/2025,1,7512
6/02/2025,1,7512
6/03/2025,1,7512
6/04/2025,0,7912
6/05/2025,1,7512
6/06/2025,1,7512
6/07/2025,1,7512
6/08/2025,1,7512
6/09/2025,1,7656
6/10/2025,1,7512
6/11/2025,1,7512
6/12/2025,1,7512
6/13/2025,1,7512
6/14/2025,1,7512
6/15/2025,1,7512
6/16/2025,1,7512
6/17/2025,1,7512
6/18/2025,1,7512
6/19/2025,1,756
6/20/2025,1,7512
6/21/2025,1,7512
6/22/2025,0,7912
6/23/2025,1,7512
6/24/2025,1,7512
6/25/2025,1,7808
6/26/2025,1,7512
6/27/2025,1,7512
6/28/2025,1,7512
6/29/2025,3,5312
6/30/2025,1,7512
7/01/2025,1,7512
7/02/2025,1,7656
7/03/2025,1,7512
7/04/2025,1,7656
7/05/2025,0,7912
7/06/2025,3,1824
21/10/2023,
17/10/2023,
14/10/2023,
12/10/2023,
2/10/2023,
1/10/2023,
29/09/2023,
27/09/2023,
26/09/2023,
26/09/2023,
24/09/2023,
23/09/2023,
21/09/2023,
20/09/2023,
20/09/2023,
20/09/2023,
18/09/2023,
16/09/2023,
14/09/2023,
14/09/2023,
13/09/2023,
10/09/2023,
9/09/2023,
8/09/2023,
7/09/2023,
7/09/2023,
7/09/2023,
6/09/2023,
5/09/2023,
1/09/2023,
1/09/2023,
31/08/2023,
30/08/2023,
29/08/2023,
27/08/2023,
26/08/2023,
25/08/2023,
25/08/2023,
23/08/2023,
23/08/2023,
21/08/2023,
21/08/2023,
19/08/2023,
19/08/2023,
18/08/2023,
18/08/2023,
17/08/2023,
16/08/2023,
16/08/2023,
15/08/2023,
10/08/2023,
8/08/2023,
5/08/2023,
3/08/2023,
2/08/2023,
1/08/2023,
1/08/2023,
31/08/2023,
4/08/2023,
3/08/2023,
1/08/2023,
31/07/2023,
30/07/2023,
30/07/2023,
29/07/2023,
28/07/2023,
28/07/2023,
23/07/2023,
20/07/2023,
19/07/2023,
19/07/2023,
17/07/2023,
15/07/2023,
13/07/2023,
12/07/2023,
11/07/2023,
9/07/2023,
9/07/2023,
6/07/2023,
6/07/2023,
5/07/2023,
4/07/2023,
3/07/2023,
2/07/2023,
30/06/2023,
29/06/2023,
28/06/2023,
26/06/2023,
25/06/2023,
24/06/2023,
23/06/2023,
21/06/2023,
20/06/2023,
19/06/2023,
19/06/2023,
18/06/2023,
18/06/2023,
17/06/2023,
16/06/2023,
14/06/2023,
13/06/2023,
13/06/2023,
12/06/2023,
12/06/2023,
10/06/2023,
9/06/2023,
9/06/2023,
8/06/2023,
6/06/2023,
6/06/2023,
1/06/2023,
1/06/2023,
9/05/2023,
31/05/2023,
30/05/2023,
29/05/2023,
28/05/2023,
22/05/2023,
19/05/2023,
18/05/2023,
18/05/2023,
18/05/2023,
18/05/2023,
18/05/2023,
18/05/2023,
18/05/2023,
18/05/2023,
18/05/2023,
17/05/2023,
15/05/2023,
13/05/2023,
11/05/2023,
11/05/2023,
4/05/2023,
3/05/2023,
3/05/2023,
3/05/2023,
1/05/2023,
30/05/2023,
23/04/2023,
23/04/2023,
23/04/2023,
22/04/2023,
21/04/2023,
20/04/2023,
13/04/2023,
11/04/2023,
11/04/2023,
5/04/2023,
5/04/2023,
1/05/2023,
28/04/2023,
28/04/2023,
27/04/2023,
27/04/2023,
26/04/2023,
26/04/2023,
26/04/2023,
23/04/2023,
20/04/2023,
18/04/2023,
18/04/2023,
13/04/2023,
12/04/2023,
12/04/2023,
9/04/2023,
7/04/2023,
7/04/2023,
7/04/2023,
6/04/2023,
3/04/2023,
2/04/2023,
1/04/2023,
15/04/2023,
2/04/2023,
23/04/2023,
23/04/2023,
10/04/2023,
7/04/2023,
27/03/2023,
22/03/2023,
20/03/2023,
14/03/2023,
30/03/2023,
30/03/2023,
29/03/2023,
29/03/2023,
28/03/2023,
26/03/2023,
26/03/2023,
25/03/2023,
23/03/2023,
22/03/2023,
22/03/2023,
21/03/2023,
19/03/2023,
19/03/2023,
19/03/2023,
18/03/2023,
14/03/2023,
14/03/2023,
14/03/2023,
14/03/2023,
12/03/2023,
11/03/2023,
11/03/2023,
10/03/2023,
8/03/2023,
7/03/2023,
7/03/2023,
3/03/2023,
3/03/2023,
1/03/2023,
19/03/2023,
9/03/2023,
8/03/2023,
7/03/2023,
3/03/2023,
3/03/2023,
1/03/2023,
28/02/2023,
26/02/2023,
26/02/2023,
24/02/2023,
20/02/2023,
20/02/2023,
18/02/2023,
18/02/2023,
16/02/2023,
16/02/2023,
11/02/2023,
11/02/2023,
9/02/2023,
9/02/2023,
9/02/2023,
7/02/2023,
7/02/2023,
5/02/2023,
5/02/2023,
5/02/2023,
3/02/2023,
3/02/2023,
3/02/2023,
1/02/2023,
1/02/2023,
13/02/2023,
16/02/2023,
14/02/2023,
30/01/2023,
28/01/2023,
27/01/2023,
27/01/2023,
26/01/2023,
22/01/2023,
21/01/2023,
21/01/2023,
20/01/2023,
20/01/2023,
20/01/2023,
19/01/2023,
18/01/2023,
17/01/2023,
16/01/2023,
14/01/2023,
12/01/2023,
12/01/2023,
11/01/2023,
11/01/2023,
10/01/2023,
9/01/2023,
9/01/2023,
8/01/2023,
6/01/2023,
4/01/2023,
4/01/2023,
2/01/2023,
2/01/2023,
1/01/2023,
28/01/2023,
29/12/2022,
28/12/2022,
28/12/2022,
27/12/2022,
25/12/2022,
22/12/2022,
21/12/2022,
19/12/2022,
19/12/2022,
18/12/2022,
18/12/2022,
17/12/2022,
17/12/2022,
17/12/2022,
16/12/2022,
15/12/2022,
14/12/2022,
13/12/2022,
13/12/2022,
12/12/2022,
11/12/2022,
10/12/2022,
8/12/2022,
5/12/2022,
5/12/2022,
4/12/2022,
4/12/2022,
2/12/2022,
2/12/2022,
5/12/2022,
30/11/2022,
28/11/2022,
26/11/2022,
26/11/2022,
25/11/2022,
25/11/2022,
25/11/2022,
23/11/2022,
22/11/2022,
16/11/2022,
16/11/2022,
13/11/2022,
12/11/2022,
12/11/2022,
10/11/2022,
10/11/2022,
10/11/2022,
9/11/2022,
9/11/2022,
9/11/2022,
9/11/2022,
8/11/2022,
7/11/2022,
6/11/2022,
6/11/2022,
5/11/2022,
4/11/2022,
4/11/2022,
3/11/2022,
3/11/2022,
3/11/2022,
3/11/2022,
1/11/2022,
31/10/2022,
27/10/2022,
26/10/2022,
24/10/2022,
24/10/2022,
23/10/2022,
23/10/2022,
22/10/2022,
22/10/2022,
21/10/2022,
21/10/2022,
19/10/2022,
18/10/2022,
17/10/2022,
15/10/2022,
15/10/2022,
14/10/2022,
14/10/2022,
14/10/2022,
12/10/2022,
12/10/2022,
10/10/2022,
10/10/2022,
9/10/2022,
7/10/2022,
7/10/2022,
2/10/2022,
2/10/2022,
1/10/2022,
1/10/2022,
1/10/2022,
1/10/2022,
1/10/2022,
1/10/2022,
1/10/2022,
1/10/2022,
29/09/2022,
28/09/2022,
28/09/2022,
27/09/2022,
26/09/2022,
30/05/2024,
25/05/2024,
20/05/2024,
19/05/2024,
6/05/2024,
5/05/2024,
4/05/2024,
24/05/2024,
12/05/2024,
30/05/2024,
30/05/2024,
30/05/2024,
29/05/2024,
29/05/2024,
29/05/2024,
28/05/2024,
28/05/2024,
28/05/2024,
26/05/2024,
25/05/2024,
25/05/2024,
24/05/2024,
24/05/2024,
24/05/2024,
24/05/2024,
24/05/2024,
23/05/2024,
22/05/2024,
22/05/2024,
22/05/2024,
20/05/2024,
19/05/2024,
18/05/2024,
18/05/2024,
18/05/2024,
18/05/2024,
17/05/2024,
13/05/2024,
13/05/2024,
13/05/2024,
12/05/2024,
11/05/2024,
11/05/2024,
10/05/2024,
10/05/2024,
10/05/2024,
9/05/2024,
9/05/2024,
9/05/2024,
9/05/2024,
8/05/2024,
8/05/2024,
8/05/2024,
8/05/2024,
7/05/2024,
6/05/2024,
5/05/2024,
3/05/2024,
2/05/2024,
1/05/2024,
30/05/2024,
30/05/2024,
28/05/2024,
27/05/2024,
22/05/2024,
21/05/2024,
21/05/2024,
21/05/2024,
21/05/2024,
20/05/2024,
20/05/2024,
19/05/2024,
18/05/2024,
18/05/2024,
18/05/2024,
18/05/2024,
18/05/2024,
17/05/2024,
17/05/2024,
17/05/2024,
17/05/2024,
17/05/2024,
17/05/2024,
17/05/2024,
17/05/2024,
17/05/2024,
17/05/2024,
16/05/2024,
16/05/2024,
16/05/2024,
16/05/2024,
16/05/2024,
16/05/2024,
15/05/2024,
15/05/2024,
15/05/2024,
15/05/2024,
15/05/2024,
15/05/2024,
15/05/2024,
15/05/2024,
15/05/2024,
15/05/2024,
15/05/2024,
15/05/2024,
14/05/2024,
14/05/2024,
14/05/2024,
14/05/2024,
14/05/2024,
14/05/2024,
14/05/2024,
14/05/2024,
14/05/2024,
14/05/2024,
14/05/2024,
14/05/2024,
13/05/2024,
13/05/2024,
13/05/2024,
13/05/2024,
13/05/2024,
13/05/2024,
13/05/2024,
13/05/2024,
13/05/2024,
13/05/2024,
13/05/2024,
13/05/2024,
13/05/2024,
12/05/2024,
12/05/2024,
12/05/2024,
12/05/2024,
12/05/2024,
12/05/2024,
12/05/2024,
12/05/2024,
12/05/2024,
12/05/2024,
12/05/2024,
11/05/2024,
11/05/2024,
11/05/2024,
11/05/2024,
11/05/2024,
11/05/2024,
10/05/2024,
10/05/2024,
10/05/2024,
10/05/2024,
10/05/2024,
10/05/2024,
10/05/2024,
10/05/2024,
9/05/2024,
9/05/2024,
9/05/2024,
9/05/2024,
9/05/2024,
9/05/2024,
9/05/2024,
9/05/2024,
8/05/2024,
8/05/2024,
8/05/2024,
8/05/2024,
8/05/2024,
8/05/2024,
8/05/2024,
7/05/2024,
7/05/2024,
7/05/2024,
7/05/2024,
7/05/2024,
7/05/2024,
7/05/2024,
7/05/2024,
7/05/2024,
7/05/2024,
6/05/2024,
6/05/2024,
6/05/2024,
6/05/2024,
6/05/2024,
6/05/2024,
6/05/2024,
6/05/2024,
6/05/2024,
6/05/2024,
6/05/2024,
5/05/2024,
5/05/2024,
5/05/2024,
4/05/2024,
3/05/2024,
3/05/2024,
3/05/2024,
3/05/2024,
2/05/2024,
2/05/2024,
2/05/2024,
2/05/2024,
2/05/2024,
2/05/2024,
2/05/2024,
2/05/2024,
2/05/2024,
2/05/2024,
1/05/2024,
1/05/2024,
1/05/2024,
1/05/2024,
1/05/2024,
1/05/2024,
1/05/2024,
1/05/2024,
19/05/2024,
16/05/2024,
2/05/2024,
2/05/2024,
24/05/2024,
22/05/2024,
26/04/2024,
15/04/2024,
11/04/2024,
10/04/2024,
7/04/2024,
25/04/2024,
20/04/2024,
30/04/2024,
29/04/2024,
29/04/2024,
27/04/2024,
27/04/2024,
27/04/2024,
27/04/2024,
26/04/2024,
26/04/2024,
24/04/2024,
24/04/2024,
24/04/2024,
23/04/2024,
23/04/2024,
22/04/2024,
21/04/2024,
21/04/2024,
21/04/2024,
21/04/2024,
17/04/2024,
16/04/2024,
11/04/2024,
8/04/2024,
7/04/2024,
7/04/2024,
7/04/2024,
5/04/2024,
5/04/2024,
5/04/2024,
5/04/2024,
3/04/2024,
2/04/2024,
2/04/2024,
1/04/2024,
30/04/2024,
30/04/2024,
29/04/2024,
29/04/2024,
29/04/2024,
29/04/2024,
29/04/2024,
29/04/2024,
29/04/2024,
29/04/2024,
28/04/2024,
28/04/2024,
28/04/2024,
28/04/2024,
26/04/2024,
25/04/2024,
24/04/2024,
24/04/2024,
23/04/2024,
22/04/2024,
21/04/2024,
20/04/2024,
18/04/2024,
15/04/2024,
13/04/2024,
12/04/2024,
11/04/2024,
11/04/2024,
5/04/2024,
4/04/2024,
8/04/2024,
31/03/2024,
30/03/2024,
30/03/2024,
30/03/2024,
30/03/2024,
29/03/2024,
28/03/2024,
28/03/2024,
28/03/2024,
27/03/2024,
25/03/2024,
24/03/2024,
24/03/2024,
23/03/2024,
23/03/2024,
23/03/2024,
23/03/2024,
22/03/2024,
21/03/2024,
21/03/2024,
20/03/2024,
20/03/2024,
20/03/2024,
19/03/2024,
19/03/2024,
17/03/2024,
17/03/2024,
17/03/2024,
16/03/2024,
16/03/2024,
15/03/2024,
14/03/2024,
14/03/2024,
14/03/2024,
13/03/2024,
12/03/2024,
12/03/2024,
12/03/2024,
12/03/2024,
28/03/2024,
27/03/2024,
26/03/2024,
26/03/2024,
25/03/2024,
25/03/2024,
24/03/2024,
22/03/2024,
22/03/2024,
22/03/2024,
22/03/2024,
22/03/2024,
22/03/2024,
22/03/2024,
22/03/2024,
22/03/2024,
21/03/2024,
20/03/2024,
20/03/2024,
20/03/2024,
19/03/2024,
19/03/2024,
19/03/2024,
19/03/2024,
19/03/2024,
17/03/2024,
17/03/2024,
16/03/2024,
16/03/2024,
16/03/2024,
16/03/2024,
15/03/2024,
15/03/2024,
15/03/2024,
15/03/2024,
15/03/2024,
15/03/2024,
14/03/2024,
13/03/2024,
13/03/2024,
13/03/2024,
12/03/2024,
12/03/2024,
11/03/2024,
11/03/2024,
11/03/2024,
11/03/2024,
11/03/2024,
11/03/2024,
11/03/2024,
11/03/2024,
11/03/2024,
11/03/2024,
11/03/2024,
11/03/2024,
11/03/2024,
11/03/2024,
11/03/2024,
10/03/2024,
10/03/2024,
10/03/2024,
10/03/2024,
10/03/2024,
10/03/2024,
10/03/2024,
10/03/2024,
10/03/2024,
10/03/2024,
10/03/2024,
10/03/2024,
10/03/2024,
10/03/2024,
10/03/2024,
10/03/2024,
10/03/2024,
10/03/2024,
10/03/2024,
10/03/2024,
10/03/2024,
10/03/2024,
10/03/2024,
10/03/2024,
10/03/2024,
10/03/2024,
10/03/2024,
9/03/2024,
9/03/2024,
9/03/2024,
9/03/2024,
9/03/2024,
9/03/2024,
9/03/2024,
9/03/2024,
9/03/2024,
8/03/2024,
8/03/2024,
8/03/2024,
8/03/2024,
8/03/2024,
7/03/2024,
7/03/2024,
7/03/2024,
7/03/2024,
7/03/2024,
7/03/2024,
6/03/2024,
6/03/2024,
6/03/2024,
6/03/2024,
6/03/2024,
6/03/2024,
6/03/2024,
6/03/2024,
6/03/2024,
6/03/2024,
6/03/2024,
5/03/2024,
5/03/2024,
5/03/2024,
5/03/2024,
5/03/2024,
5/03/2024,
5/03/2024,
5/03/2024,
4/03/2024,
4/03/2024,
4/03/2024,
4/03/2024,
4/03/2024,
4/03/2024,
4/03/2024,
4/03/2024,
4/03/2024,
3/03/2024,
2/03/2024,
1/03/2024,
1/03/2024,
17/03/2024,
15/03/2024,
29/02/2024,
29/02/2024,
29/02/2024,
28/02/2024,
28/02/2024,
27/02/2024,
26/02/2024,
26/02/2024,
23/02/2024,
22/02/2024,
21/02/2024,
21/02/2024,
19/02/2024,
19/02/2024,
19/02/2024,
19/02/2024,
16/02/2024,
16/02/2024,
16/02/2024,
15/02/2024,
15/02/2024,
14/02/2024,
14/02/2024,
14/02/2024,
14/02/2024,
14/02/2024,
14/02/2024,
14/02/2024,
14/02/2024,
14/02/2024,
14/02/2024,
14/02/2024,
13/02/2024,
13/02/2024,
13/02/2024,
13/02/2024,
12/02/2024,
12/02/2024,
12/02/2024,
12/02/2024,
12/02/2024,
12/02/2024,
12/02/2024,
11/02/2024,
11/02/2024,
11/02/2024,
11/02/2024,
11/02/2024,
11/02/2024,
10/02/2024,
10/02/2024,
10/02/2024,
10/02/2024,
10/02/2024,
9/02/2024,
9/02/2024,
9/02/2024,
9/02/2024,
9/02/2024,
9/02/2024,
9/02/2024,
9/02/2024,
9/02/2024,
8/02/2024,
8/02/2024,
8/02/2024,
8/02/2024,
8/02/2024,
8/02/2024,
8/02/2024,
8/02/2024,
8/02/2024,
8/02/2024,
8/02/2024,
7/02/2024,
7/02/2024,
7/02/2024,
7/02/2024,
7/02/2024,
7/02/2024,
7/02/2024,
7/02/2024,
7/02/2024,
7/02/2024,
6/02/2024,
6/02/2024,
6/02/2024,
6/02/2024,
6/02/2024,
6/02/2024,
6/02/2024,
6/02/2024,
5/02/2024,
5/02/2024,
5/02/2024,
5/02/2024,
5/02/2024,
5/02/2024,
5/02/2024,
5/02/2024,
5/02/2024,
5/02/2024,
5/02/2024,
5/02/2024,
4/02/2024,
4/02/2024,
4/02/2024,
4/02/2024,
4/02/2024,
4/02/2024,
4/02/2024,
3/02/2024,
3/02/2024,
3/02/2024,
3/02/2024,
3/02/2024,
3/02/2024,
3/02/2024,
3/02/2024,
3/02/2024,
2/02/2024,
2/02/2024,
2/02/2024,
2/02/2024,
2/02/2024,
2/02/2024,
2/02/2024,
2/02/2024,
2/02/2024,
2/02/2024,
1/02/2024,
1/02/2024,
1/02/2024,
1/02/2024,
1/02/2024,
1/02/2024,
1/02/2024,
1/02/2024,
1/02/2024,
1/02/2024,
31/01/2024,
21/01/2024,
17/01/2024,
16/01/2024,
15/01/2024,
15/01/2024,
15/01/2024,
11/01/2024,
9/01/2024,
9/01/2024,
8/01/2024,
8/01/2024,
8/01/2024,
7/01/2024,
7/01/2024,
6/01/2024,
6/01/2024,
6/01/2024,
5/01/2024,
4/01/2024,
4/01/2024,
2/01/2024,
2/01/2024,
2/01/2024,
2/01/2024,
23/01/2024,
31/01/2024,
31/01/2024,
31/01/2024,
31/01/2024,
31/01/2024,
31/01/2024,
31/01/2024,
31/01/2024,
31/01/2024,
30/01/2024,
30/01/2024,
30/01/2024,
30/01/2024,
30/01/2024,
30/01/2024,
30/01/2024,
29/01/2024,
29/01/2024,
29/01/2024,
29/01/2024,
29/01/2024,
29/01/2024,
29/01/2024,
29/01/2024,
29/01/2024,
29/01/2024,
29/01/2024,
29/01/2024,
29/01/2024,
29/01/2024,
28/01/2024,
28/01/2024,
28/01/2024,
28/01/2024,
28/01/2024,
28/01/2024,
27/01/2024,
27/01/2024,
27/01/2024,
27/01/2024,
27/01/2024,
27/01/2024,
27/01/2024,
27/01/2024,
27/01/2024,
27/01/2024,
27/01/2024,
26/01/2024,
26/01/2024,
26/01/2024,
26/01/2024,
26/01/2024,
26/01/2024,
26/01/2024,
26/01/2024,
26/01/2024,
25/01/2024,
25/01/2024,
25/01/2024,
25/01/2024,
25/01/2024,
25/01/2024,
25/01/2024,
25/01/2024,
25/01/2024,
25/01/2024,
25/01/2024,
24/01/2024,
24/01/2024,
24/01/2024,
24/01/2024,
24/01/2024,
24/01/2024,
24/01/2024,
24/01/2024,
24/01/2024,
24/01/2024,
24/01/2024,
24/01/2024,
24/01/2024,
24/01/2024,
23/01/2024,
23/01/2024,
23/01/2024,
23/01/2024,
23/01/2024,
23/01/2024,
23/01/2024,
23/01/2024,
23/01/2024,
23/01/2024,
22/01/2024,
22/01/2024,
22/01/2024,
22/01/2024,
22/01/2024,
22/01/2024,
22/01/2024,
22/01/2024,
22/01/2024,
22/01/2024,
22/01/2024,
21/01/2024,
21/01/2024,
21/01/2024,
21/01/2024,
21/01/2024,
21/01/2024,
21/01/2024,
21/01/2024,
21/01/2024,
21/01/2024,
21/01/2024,
21/01/2024,
21/01/2024,
21/01/2024,
21/01/2024,
21/01/2024,
21/01/2024,
20/01/2024,
20/01/2024,
20/01/2024,
20/01/2024,
20/01/2024,
20/01/2024,
20/01/2024,
20/01/2024,
20/01/2024,
20/01/2024,
20/01/2024,
19/01/2024,
19/01/2024,
19/01/2024,
19/01/2024,
