purchase_date,GELİR,
17/05/2024,#BAŞV!,7.58
17/05/2024,#BAŞV!,1.245
16/05/2024,#BAŞV!,1.975
16/05/2024,#BAŞV!,2.445
16/05/2024,#BAŞV!,2.345
16/05/2024,#BAŞV!,1.975
16/05/2024,#BAŞV!,1.995
16/05/2024,#BAŞV!,2.095
16/05/2024,#BAŞV!,1.245
16/05/2024,#BAŞV!,1.645
16/05/2024,#BAŞV!,1.845
16/05/2024,#BAŞV!,2.345
15/05/2024,#BAŞV!,1.33
15/05/2024,#BAŞV!,2.145
15/05/2024,#BAŞV!,1.895
15/05/2024,#BAŞV!,2.445
15/05/2024,#BAŞV!,1.975
15/05/2024,#BAŞV!,1.895
15/05/2024,#BAŞV!,1.895
15/05/2024,#BAŞV!,2.345
15/05/2024,#BAŞV!,1.995
15/05/2024,#BAŞV!,1.975
15/05/2024,#BAŞV!,1.245
14/05/2024,#BAŞV!,8.445
14/05/2024,#BAŞV!,1.245
14/05/2024,#BAŞV!,2.345
14/05/2024,#BAŞV!,1.895
14/05/2024,#BAŞV!,4.98
14/05/2024,#BAŞV!,2.145
14/05/2024,#BAŞV!,1.33
14/05/2024,#BAŞV!,1.245
14/05/2024,#BAŞV!,1.895
13/05/2024,#BAŞV!,2.345
13/05/2024,#BAŞV!,1.895
13/05/2024,#BAŞV!,1.945
13/05/2024,#BAŞV!,2.345
13/05/2024,#BAŞV!,2.445
13/05/2024,#BAŞV!,1.895
13/05/2024,#BAŞV!,1.975
13/05/2024,#BAŞV!,2.445
13/05/2024,#BAŞV!,5.32
13/05/2024,#BAŞV!,2.345
13/05/2024,#BAŞV!,2.445
13/05/2024,#BAŞV!,1.245
12/05/2024,#BAŞV!,8.945
12/05/2024,#BAŞV!,6.7
12/05/2024,#BAŞV!,1.33
12/05/2024,#BAŞV!,6.445
12/05/2024,#BAŞV!,6.245
12/05/2024,#BAŞV!,2.145
12/05/2024,#BAŞV!,1.895
12/05/2024,#BAŞV!,1.33
12/05/2024,#BAŞV!,6.445
11/05/2024,#BAŞV!,1.975
11/05/2024,#BAŞV!,2.425
11/05/2024,#BAŞV!,2.395
10/05/2024,#BAŞV!,1.975
10/05/2024,#BAŞV!,1.975
10/05/2024,#BAŞV!,6.445
10/05/2024,#BAŞV!,1.33
10/05/2024,#BAŞV!,2.425
10/05/2024,#BAŞV!,1.33
10/05/2024,#BAŞV!,1.895
10/05/2024,#BAŞV!,1.895
10/05/2024,#BAŞV!,1.33
10/05/2024,#BAŞV!,1.995
10/05/2024,#BAŞV!,2.445
10/05/2024,#BAŞV!,25.78
09/05/2024,#BAŞV!,1.245
09/05/2024,#BAŞV!,1.895
09/05/2024,#BAŞV!,2.445
09/05/2024,#BAŞV!,2.145
09/05/2024,#BAŞV!,8.58
09/05/2024,#BAŞV!,2.445
08/05/2024,#BAŞV!,6.445
08/05/2024,#BAŞV!,1.895
08/05/2024,#BAŞV!,2.145
08/05/2024,#BAŞV!,2.145
08/05/2024,#BAŞV!,2.145
08/05/2024,#BAŞV!,1.895
08/05/2024,#BAŞV!,1.245
08/05/2024,#BAŞV!,2.145
08/05/2024,#BAŞV!,1.945
07/05/2024,#BAŞV!,1.975
07/05/2024,#BAŞV!,1.245
07/05/2024,#BAŞV!,2.445
07/05/2024,#BAŞV!,2.445
07/05/2024,#BAŞV!,1.245
07/05/2024,#BAŞV!,2.425
06/05/2024,#BAŞV!,1.995
06/05/2024,#BAŞV!,6.445
06/05/2024,#BAŞV!,1.245
06/05/2024,#BAŞV!,2.345
06/05/2024,#BAŞV!,1.33
06/05/2024,#BAŞV!,1.245
06/05/2024,#BAŞV!,2.425
06/05/2024,#BAŞV!,1.245
06/05/2024,#BAŞV!,1.33
05/05/2024,#BAŞV!,2.445
05/05/2024,#BAŞV!,6.445
05/05/2024,#BAŞV!,1.995
05/05/2024,#BAŞV!,1.945
05/05/2024,#BAŞV!,6.445
05/05/2024,#BAŞV!,2.425
05/05/2024,#BAŞV!,2.425
05/05/2024,#BAŞV!,2.345
05/05/2024,#BAŞV!,1.245
05/05/2024,#BAŞV!,19.305
04/05/2024,#BAŞV!,6.445
04/05/2024,#BAŞV!,1.245
04/05/2024,#BAŞV!,1.415
04/05/2024,#BAŞV!,1.245
04/05/2024,#BAŞV!,1.645
